Time,RPM,Generator Output,Generator Reactive Power,Generator Power Factor,Frequency,Field Current
13/08/2023 03:46:07,2877.001,310,24,0.9970165,47.95001,1511.52
13/08/2023 03:46:08,2877.001,310,31,0.9950372,47.95001,1548.13
13/08/2023 03:46:09,2877.001,310,38,0.9925706,47.95001,1584.74
13/08/2023 03:46:10,2877.001,310,45,0.9896277,47.95001,1621.35
13/08/2023 03:46:11,2877.001,310,53,0.9856978,47.95001,1663.19
13/08/2023 03:46:12,2877.001,310,60,0.9817798,47.95001,1699.8
13/08/2023 03:46:13,2877.001,310,66,0.9780786,47.95001,1731.18
13/08/2023 03:46:14,2877.001,310,72,0.9740725,47.95001,1762.56
13/08/2023 03:46:15,2877.001,310,78,0.9697734,47.95001,1793.94
13/08/2023 03:46:16,2877.001,310,84,0.9651936,47.95001,1825.32
13/08/2023 03:46:17,2877.001,310,90,0.9603462,47.95001,1856.7
13/08/2023 03:46:18,2877.001,310,95,0.9561118,47.95001,1882.85
13/08/2023 03:46:19,2877.001,310,100,0.9517086,47.95001,1909
13/08/2023 03:46:20,2877.001,310,100,0.9517086,47.95001,1909
13/08/2023 03:46:21,2877.001,310,100,0.9517086,47.95001,1909
