Time,RPM,Generator Frequency,Generator Output,Generator Power Factor
06/08/2023 10:54:01,2511,41.85,10,1
06/08/2023 10:54:02,2586,43.1,8,1
06/08/2023 10:54:03,2906,48.43333,1,1
06/08/2023 10:54:04,3002,50.03333,0,NaN
06/08/2023 10:54:05,3002,50.03333,0,NaN
06/08/2023 10:54:06,3052,50.86666,-1,-1
06/08/2023 10:54:07,3011,50.18333,0,NaN
06/08/2023 10:54:08,3011,50.18333,0,NaN
06/08/2023 10:54:09,3011,50.18333,0,NaN
06/08/2023 10:54:10,3011,50.18333,0,NaN
06/08/2023 10:54:11,3011,50.18333,0,NaN
06/08/2023 10:54:12,3011,50.18333,0,NaN
06/08/2023 10:54:13,3011,50.18333,0,NaN
06/08/2023 10:54:14,3011,50.18333,0,NaN
06/08/2023 10:54:15,3011,50.18333,0,NaN
06/08/2023 10:54:16,3011,50.18333,0,NaN
