Time,RPM,Generator Output,Generator Reactive Power,Generator Power Factor,Frequency,Field Current
15/08/2023 21:16:26,0,0,0,0,0,0
15/08/2023 21:16:29,0,0,0,0,0,0
15/08/2023 21:16:30,0,0,0,0,0,0
15/08/2023 21:16:31,3000,0,0,0,50,0
15/08/2023 21:16:32,3000,0,0,0,50,0
15/08/2023 21:16:33,3000.998,0,0,0,50.01664,0
15/08/2023 21:16:34,3000.999,0,0,0,50.01665,0
15/08/2023 21:16:35,3000.999,0,0,0,50.01665,0
15/08/2023 21:16:36,3000.999,0,0,NaN,50.01665,1386
15/08/2023 21:16:37,3000.999,0,0,NaN,50.01665,1386
15/08/2023 21:16:38,3000.999,0,0,NaN,50.01665,1386
15/08/2023 21:16:39,3000.999,0,0,NaN,50.01665,1386
15/08/2023 21:16:40,3000.999,0,0,NaN,50.01665,1386
15/08/2023 21:16:41,3000.999,0,0,NaN,50.01665,1386
15/08/2023 21:16:42,3000.999,0,0,NaN,50.01665,1386
15/08/2023 21:16:43,3000.999,0,0,NaN,50.01665,1386
15/08/2023 21:16:44,3000.999,0,0,NaN,50.01665,1386
15/08/2023 21:16:45,3000.999,0,1,0,50.01665,1391.23
15/08/2023 21:16:46,3000.999,0,2,0,50.01665,1396.46
15/08/2023 21:16:47,3000.999,0,3,0,50.01665,1401.69
15/08/2023 21:16:48,3000.999,0,4,0,50.01665,1406.92
15/08/2023 21:16:49,3000.999,0,5,0,50.01665,1412.15
15/08/2023 21:16:50,3000.999,0,6,0,50.01665,1417.38
15/08/2023 21:16:51,3000.999,0,7,0,50.01665,1422.61
15/08/2023 21:16:52,3000.999,0,8,0,50.01665,1427.84
15/08/2023 21:16:53,3000.999,0,9,0,50.01665,1433.07
15/08/2023 21:16:54,3000.999,0,10,0,50.01665,1438.3
15/08/2023 21:16:55,3000.999,0,10,0,50.01665,1438.3
15/08/2023 21:16:56,3000.999,0,11,0,50.01665,1443.53
15/08/2023 21:16:57,3000.999,0,12,0,50.01665,1448.76
15/08/2023 21:16:58,3000.999,0,13,0,50.01665,1453.99
15/08/2023 21:16:59,3000.999,0,14,0,50.01665,1459.22
15/08/2023 21:17:00,3000.999,0,15,0,50.01665,1464.45
15/08/2023 21:17:01,3000.999,0,16,0,50.01665,1469.68
15/08/2023 21:17:02,3000.999,0,17,0,50.01665,1474.91
15/08/2023 21:17:03,3000.999,0,18,0,50.01665,1480.14
15/08/2023 21:17:04,3000.999,0,19,0,50.01665,1485.37
15/08/2023 21:17:05,3000.999,0,20,0,50.01665,1490.6
15/08/2023 21:17:06,3000.999,0,20,0,50.01665,1490.6
15/08/2023 21:17:07,3000.999,0,20,0,50.01665,1490.6
