Time,RPM,Generator Output,Generator Reactive Power,Generator Power Factor,Frequency,Field Current
13/08/2023 03:26:17,0,0,0,0,0,0
13/08/2023 03:26:27,0,0,0,0,0,0
13/08/2023 03:26:28,0,0,0,0,0,0
13/08/2023 03:26:29,3000,0,0,0,50,0
13/08/2023 03:26:30,3000,0,0,0,50,0
13/08/2023 03:26:31,3000,0,0,0,50,0
13/08/2023 03:26:32,3000,0,0,0,50,0
13/08/2023 03:26:33,3000.999,0,0,0,50.01665,0
13/08/2023 03:26:34,3000.999,0,0,0,50.01665,0
13/08/2023 03:26:35,3000.999,0,0,0,50.01665,0
13/08/2023 03:26:36,3000.999,0,0,NaN,50.01665,1386
13/08/2023 03:26:37,3000.999,0,0,NaN,50.01665,1386
13/08/2023 03:26:38,3000.999,0,0,NaN,50.01665,1386
13/08/2023 03:26:39,3000.999,0,0,NaN,50.01665,1386
13/08/2023 03:26:40,3000.999,0,0,NaN,50.01665,1386
13/08/2023 03:26:41,3000.999,0,0,NaN,50.01665,1386
13/08/2023 03:26:42,3000.999,0,0,NaN,50.01665,1386
13/08/2023 03:26:43,3000.999,0,0,NaN,50.01665,1386
13/08/2023 03:26:44,3000.999,0,0,NaN,50.01665,1386
13/08/2023 03:26:45,3000.999,0,0,NaN,50.01665,1386
13/08/2023 03:26:46,3000.601,1,0,1,50.01002,1386
13/08/2023 03:26:47,3000.201,2,0,1,50.00335,1386
13/08/2023 03:26:48,2999.801,3,0,1,49.99669,1386
13/08/2023 03:26:49,2999.401,4,0,1,49.99001,1386
13/08/2023 03:26:50,2998.533,7,0,1,49.97616,1386
13/08/2023 03:26:51,2997.044,10,0,1,49.95081,1386
13/08/2023 03:26:52,2996.863,11,0,1,49.9482,1386
13/08/2023 03:26:53,2995.972,13,0,1,49.93319,1386
13/08/2023 03:26:54,2995.401,14,0,1,49.92335,1386
13/08/2023 03:26:55,2995.001,15,0,1,49.91668,1386
13/08/2023 03:26:57,2995.001,15,0,1,49.91668,1386
13/08/2023 03:26:58,2993.762,19,0,1,49.8967,1386
13/08/2023 03:26:59,2992.232,22,0,1,49.8706,1386
13/08/2023 03:27:00,2990.668,26,0,1,49.8446,1386
13/08/2023 03:27:01,2989.094,30,0,1,49.81841,1386
13/08/2023 03:27:02,2987.542,34,0,1,49.79262,1386
13/08/2023 03:27:03,2985.885,38,0,1,49.7649,1386
13/08/2023 03:27:04,2983.931,43,0,1,49.73243,1386
13/08/2023 03:27:05,2981.964,48,0,1,49.69971,1386
13/08/2023 03:27:06,2981.001,50,0,1,49.68335,1386
13/08/2023 03:27:07,2981.001,50,0,1,49.68335,1386
13/08/2023 03:27:08,2981.001,50,0,1,49.68335,1386
13/08/2023 03:27:09,2981.001,50,0,1,49.68335,1386
13/08/2023 03:27:10,2981.001,50,0,1,49.68335,1386
13/08/2023 03:27:11,2982.78,50,0,1,49.71259,1386
13/08/2023 03:27:12,2988.914,50,0,1,49.81507,1386
13/08/2023 03:27:13,2994.937,50,0,1,49.91549,1386
13/08/2023 03:27:14,2997.807,50,0,1,49.96309,1386
13/08/2023 03:27:15,2999.987,50,0,1,49.99975,1386
13/08/2023 03:27:16,2999.999,50,0,1,49.99998,1386
13/08/2023 03:27:17,2999.999,50,0,1,49.99998,1386
13/08/2023 03:27:18,2999.999,50,0,1,49.99998,1386
13/08/2023 03:27:19,2999.999,50,0,1,49.99998,1386
13/08/2023 03:27:20,2999.999,50,0,1,49.99998,1386
13/08/2023 03:27:21,2999.999,50,0,1,49.99998,1386
13/08/2023 03:27:22,2999.999,50,1,0.9998001,49.99998,1391.23
13/08/2023 03:27:23,2999.999,50,1,0.9998001,49.99998,1391.23
13/08/2023 03:27:24,2999.999,50,1,0.9998001,49.99998,1391.23
13/08/2023 03:27:25,2999.999,50,1,0.9998001,49.99998,1391.23
13/08/2023 03:27:26,2999.999,50,2,0.9992009,49.99998,1396.46
13/08/2023 03:27:27,2999.999,50,3,0.9982048,49.99998,1401.69
13/08/2023 03:27:28,2999.999,50,5,0.9950372,49.99998,1412.15
13/08/2023 03:27:29,2999.999,50,5,0.9950372,49.99998,1412.15
13/08/2023 03:27:30,2999.999,50,7,0.9903418,49.99998,1422.61
13/08/2023 03:27:31,2999.999,50,10,0.9805806,49.99998,1438.3
13/08/2023 03:27:32,2999.999,50,10,0.9805806,49.99998,1438.3
13/08/2023 03:27:33,2999.999,50,11,0.9766445,49.99998,1443.53
13/08/2023 03:27:34,2999.999,50,14,0.9629641,49.99998,1459.22
13/08/2023 03:27:35,2999.999,50,15,0.9578263,49.99998,1464.45
13/08/2023 03:27:36,2999.999,50,15,0.9578263,49.99998,1464.45
13/08/2023 03:27:37,2999.999,50,15,0.9578263,49.99998,1464.45
13/08/2023 03:27:38,2999.999,50,15,0.9578263,49.99998,1464.45
13/08/2023 03:27:39,2999.999,50,15,0.9578263,49.99998,1464.45
13/08/2023 03:27:40,2999.999,50,15,0.9578263,49.99998,1464.45
13/08/2023 03:27:41,2999.999,50,15,0.9578263,49.99998,1464.45
13/08/2023 03:27:42,2999.999,50,15,0.9578263,49.99998,1464.45
